day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,technique,sweep,n_points,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,superposition_mode,baseline_source,linear_correction,gaussian_correction,linear_edge_fraction,gaussian_fit_start_v,gaussian_center_v,gaussian_sigma_v
1,6,106,5,100,0,cv_normal,anodic,1001,2.11660007387,1.8146007949,4.1655665949,0.600829804362,-9.68484653287,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,6,106,5,100,0,cv_normal,cathodic,1000,1.78570466905,1.45217943335,4.96233525677,0.419179317954,-7.23014230825,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,6,106,5,100,0,cv_gc,anodic,1001,1.76418288056,1.49182703325,4.44650795745,0.453461757906,-4.76668861917,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,6,106,5,100,0,cv_gc,cathodic,1000,1.46909315748,1.23404093542,3.58474361008,0.330171666216,-4.27268732622,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,7,107,5,200,0,cv_normal,anodic,1001,2.11569621631,1.83118897345,3.96499201064,0.606201997515,-9.48499096921,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,7,107,5,200,0,cv_normal,cathodic,1000,1.80483883712,1.47743373468,5.00245825071,0.418194816955,-7.07417122613,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,7,107,5,200,0,cv_gc,anodic,1001,1.77033818828,1.53168704294,4.41044037511,0.474770515809,-5.47385922627,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,7,107,5,200,0,cv_gc,cathodic,1000,1.45696355022,1.24058397795,3.54090140803,0.327461737992,-4.66438888736,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,8,108,5,400,0,cv_normal,anodic,1001,2.14358784247,1.86662613469,3.68709652944,0.651155940559,-8.89453143331,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,8,108,5,400,0,cv_normal,cathodic,1000,1.83138974297,1.52198584843,4.69226036064,0.411811473887,-8.01709977473,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,8,108,5,400,0,cv_gc,anodic,1001,1.71108688122,1.49235942233,4.35823250534,0.488654830904,-5.28602104451,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
1,8,108,5,400,0,cv_gc,cathodic,1000,1.44053598175,1.2442738675,3.50700239359,0.326306641715,-5.33779706501,full_curve_sum,mean,True,False,0.08,0.65,0.9,0.18
